task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	d6/486983	46138012	LDCALCULATION_sortlocus (78)	COMPLETED	0	2023-04-03 13:37:31.724	34s	93ms	25.0%	0	0	105.9 KB	11.2 KB
81	3d/c05b6c	46138013	LDCALCULATION_sortlocus (79)	COMPLETED	0	2023-04-03 13:37:31.789	33.9s	78ms	37.2%	0	0	123.9 KB	25 KB
82	eb/bf0741	46138014	LDCALCULATION_sortlocus (80)	COMPLETED	0	2023-04-03 13:37:31.859	33.9s	95ms	30.6%	0	0	111.2 KB	15.2 KB
83	6c/c190af	46138015	LDCALCULATION_sortlocus (81)	COMPLETED	0	2023-04-03 13:37:31.925	33.9s	95ms	31.0%	0	0	130.1 KB	31.2 KB
84	a4/e34ece	46138016	LDCALCULATION_sortlocus (82)	COMPLETED	0	2023-04-03 13:37:31.984	33.9s	93ms	29.4%	0	0	124.9 KB	25.9 KB
85	d0/1500d2	46138017	LDCALCULATION_sortlocus (83)	COMPLETED	0	2023-04-03 13:37:32.044	33.8s	74ms	30.2%	0	0	101.9 KB	8.3 KB
86	61/5febb8	46138018	LDCALCULATION_sortlocus (84)	COMPLETED	0	2023-04-03 13:37:32.105	33.8s	94ms	31.2%	0	0	104.1 KB	10 KB
87	1c/f3eead	46138019	LDCALCULATION_sortlocus (85)	COMPLETED	0	2023-04-03 13:37:32.161	33.8s	91ms	25.7%	0	0	97.6 KB	5 KB
88	6c/7287c5	46138020	LDCALCULATION_sortlocus (86)	COMPLETED	0	2023-04-03 13:37:32.230	33.7s	90ms	32.6%	0	0	136.3 KB	37.4 KB
89	1b/7b94be	46138021	LDCALCULATION_sortlocus (87)	COMPLETED	0	2023-04-03 13:37:32.289	33.7s	90ms	33.8%	0	0	101.5 KB	8 KB
90	3b/07fc1a	46138022	LDCALCULATION_sortlocus (88)	COMPLETED	0	2023-04-03 13:37:32.353	33.7s	19ms	85.3%	0	0	115.7 KB	18.6 KB
91	1b/578341	46138023	LDCALCULATION_sortlocus (89)	COMPLETED	0	2023-04-03 13:37:32.406	33.7s	85ms	32.9%	0	0	113.2 KB	16.7 KB
92	58/9b6704	46138024	LDCALCULATION_sortlocus (90)	COMPLETED	0	2023-04-03 13:37:32.448	33.7s	94ms	38.6%	0	0	92.9 KB	1.5 KB
93	fc/b71978	46138025	LDCALCULATION_sortlocus (91)	COMPLETED	0	2023-04-03 13:37:32.512	33.6s	85ms	39.6%	0	0	116.3 KB	19.1 KB
94	dc/43b218	46138026	LDCALCULATION_sortlocus (92)	COMPLETED	0	2023-04-03 13:37:32.545	33.6s	95ms	39.3%	0	0	140.8 KB	41.9 KB
95	4c/df903d	46138027	LDCALCULATION_sortlocus (93)	COMPLETED	0	2023-04-03 13:37:32.584	33.6s	82ms	40.7%	0	0	97.3 KB	4.8 KB
96	6a/129834	46138028	LDCALCULATION_sortlocus (94)	COMPLETED	0	2023-04-03 13:37:32.618	33.6s	90ms	34.3%	0	0	105.2 KB	10.7 KB
97	a3/879a60	46138029	LDCALCULATION_sortlocus (95)	COMPLETED	0	2023-04-03 13:37:32.693	33.6s	75ms	27.8%	0	0	99.2 KB	6.3 KB
98	aa/10cee6	46138030	LDCALCULATION_sortlocus (96)	COMPLETED	0	2023-04-03 13:37:32.755	33.6s	109ms	25.9%	0	0	137 KB	38.2 KB
99	fa/82e813	46138031	LDCALCULATION_sortlocus (97)	COMPLETED	0	2023-04-03 13:37:32.808	33.6s	89ms	30.8%	0	0	120.2 KB	22 KB
100	de/e4efb1	46138032	LDCALCULATION_sortlocus (98)	COMPLETED	0	2023-04-03 13:37:32.859	33.5s	110ms	32.1%	0	0	134.5 KB	35.6 KB
101	c7/dd1c0c	46138033	LDCALCULATION_sortlocus (99)	COMPLETED	0	2023-04-03 13:37:32.910	33.5s	89ms	30.6%	0	0	118.9 KB	21.1 KB
102	76/c2ee8d	46138034	LDCALCULATION_sortlocus (100)	COMPLETED	0	2023-04-03 13:37:32.946	33.5s	60ms	30.2%	0	0	102.4 KB	9.3 KB
103	b6/9cebba	46138036	LDCALCULATION_sortlocus (101)	COMPLETED	0	2023-04-03 13:37:35.106	31.4s	86ms	31.7%	0	0	122.9 KB	24.8 KB
104	59/4eb4dc	46138037	LDCALCULATION_sortlocus (102)	COMPLETED	0	2023-04-03 13:37:35.294	31.3s	73ms	36.1%	0	0	130.2 KB	32.1 KB
105	00/d1eb2f	46138038	LDCALCULATION_sortlocus (103)	COMPLETED	0	2023-04-03 13:37:35.442	31.1s	74ms	30.0%	0	0	104.6 KB	10.9 KB
106	08/a9834e	46138039	LDCALCULATION_sortlocus (104)	COMPLETED	0	2023-04-03 13:37:35.579	31s	72ms	28.2%	0	0	109.6 KB	14.7 KB
108	b0/09e9b1	46138040	LDCALCULATION_sortlocus (106)	COMPLETED	0	2023-04-03 13:37:35.690	31s	88ms	34.4%	0	0	120.3 KB	22.2 KB
107	c2/127572	46138041	LDCALCULATION_sortlocus (105)	COMPLETED	0	2023-04-03 13:37:35.803	30.9s	86ms	32.8%	0	0	123 KB	24.1 KB
109	1f/29dcc3	46138042	LDCALCULATION_sortlocus (107)	COMPLETED	0	2023-04-03 13:37:35.931	30.8s	75ms	27.3%	0	0	108.8 KB	13.4 KB
110	71/5e7b22	46138043	LDCALCULATION_sortlocus (108)	COMPLETED	0	2023-04-03 13:37:36.081	30.7s	87ms	25.9%	0	0	112.4 KB	16.4 KB
111	aa/0ea365	46138044	LDCALCULATION_sortlocus (109)	COMPLETED	0	2023-04-03 13:37:36.202	30.6s	83ms	30.3%	0	0	116.9 KB	19.8 KB
113	3d/0f808f	46138045	LDCALCULATION_sortlocus (111)	COMPLETED	0	2023-04-03 13:37:36.375	30.5s	79ms	25.9%	0	0	133.2 KB	34.2 KB
114	1e/93709f	46138046	LDCALCULATION_sortlocus (112)	COMPLETED	0	2023-04-03 13:37:36.500	30.4s	77ms	25.7%	0	0	117.3 KB	19.8 KB
112	7c/96bb01	46138047	LDCALCULATION_sortlocus (110)	COMPLETED	0	2023-04-03 13:37:36.628	30.3s	61ms	37.2%	0	0	140.4 KB	41.5 KB
115	d0/d2f721	46138048	LDCALCULATION_sortlocus (113)	COMPLETED	0	2023-04-03 13:37:36.739	30.2s	95ms	26.2%	0	0	117.1 KB	19.7 KB
117	31/0855b6	46138049	LDCALCULATION_sortlocus (115)	COMPLETED	0	2023-04-03 13:37:36.869	30.1s	88ms	25.3%	0	0	123.7 KB	24.8 KB
118	ef/12cfe5	46138050	LDCALCULATION_sortlocus (116)	COMPLETED	0	2023-04-03 13:37:36.984	30s	91ms	25.3%	0	0	115.6 KB	18.6 KB
116	5b/7368e2	46138051	LDCALCULATION_sortlocus (114)	COMPLETED	0	2023-04-03 13:37:37.096	30s	59ms	31.4%	0	0	103.4 KB	9.4 KB
119	10/23c815	46138052	LDCALCULATION_sortlocus (117)	COMPLETED	0	2023-04-03 13:37:37.228	29.9s	84ms	28.8%	0	0	115.3 KB	18.3 KB
120	43/911310	46138053	LDCALCULATION_sortlocus (118)	COMPLETED	0	2023-04-03 13:37:37.364	29.8s	86ms	25.1%	0	0	114.7 KB	17.8 KB
121	c8/35baaa	46138054	LDCALCULATION_sortlocus (119)	COMPLETED	0	2023-04-03 13:37:37.469	29.7s	106ms	26.3%	0	0	108 KB	12.9 KB
124	18/28c10e	46138056	LDCALCULATION_calculation (3)	COMPLETED	0	2023-04-03 13:37:37.678	42.3s	15.5s	92.3%	34.6 MB	89.2 MB	23.2 MB	70.9 KB
222	06/27c6be	46138162	LDCALCULATION_calculation (101)	COMPLETED	0	2023-04-03 13:38:20.063	34.9s	21.6s	93.2%	38.9 MB	93.4 MB	21.2 MB	192.1 KB
157	c3/5d7b4d	46138090	LDCALCULATION_calculation (36)	COMPLETED	0	2023-04-03 13:37:39.673	1m 40s	1m 14s	95.9%	24.6 MB	79.1 MB	68.4 MB	21.3 KB
208	01/5a5afb	46138148	LDCALCULATION_calculation (87)	COMPLETED	0	2023-04-03 13:38:08.798	1m 11s	43s	96.9%	24.7 MB	79.1 MB	68.9 MB	18.3 KB
206	e4/ca5ee4	46138146	LDCALCULATION_calculation (85)	COMPLETED	0	2023-04-03 13:38:08.702	1m 16s	51.6s	96.0%	26.8 MB	81.1 MB	46.2 MB	7.9 KB
194	67/fd1c1a	46138134	LDCALCULATION_calculation (73)	COMPLETED	0	2023-04-03 13:38:07.985	1m 42s	1m 12s	95.9%	35 MB	89.2 MB	71.4 MB	196.1 KB
167	67/f1ac2b	46138107	LDCALCULATION_calculation (46)	COMPLETED	0	2023-04-03 13:38:05.718	1m 59s	1m 28s	95.8%	36.7 MB	91.2 MB	84.4 MB	402.3 KB
149	68/30f3fe	46138082	LDCALCULATION_calculation (28)	COMPLETED	0	2023-04-03 13:37:39.312	2m 31s	2m 2s	96.3%	33.9 MB	88.3 MB	105.2 MB	80.6 KB
196	df/b7d5ba	46138136	LDCALCULATION_calculation (75)	COMPLETED	0	2023-04-03 13:38:08.103	2m 2s	1m 36s	96.3%	24.8 MB	79.1 MB	90.2 MB	35.4 KB
190	d8/bda91c	46138130	LDCALCULATION_calculation (69)	COMPLETED	0	2023-04-03 13:38:07.751	2m 7s	1m 39s	96.0%	27.9 MB	82.5 MB	86.9 MB	11.4 KB
209	57/4426ea	46138149	LDCALCULATION_calculation (88)	COMPLETED	0	2023-04-03 13:38:08.828	2m 11s	1m 45s	96.2%	33.1 MB	87.4 MB	93.2 MB	103.1 KB
123	da/32b6dc	46138055	LDCALCULATION_calculation (2)	COMPLETED	0	2023-04-03 13:37:37.565	2m 47s	2m 21s	97.3%	24.7 MB	79.1 MB	206.7 MB	43.3 KB
168	57/0f5823	46138108	LDCALCULATION_calculation (47)	COMPLETED	0	2023-04-03 13:38:05.813	2m 19s	1m 48s	96.7%	36.7 MB	91.3 MB	139.2 MB	189.9 KB
142	26/60a1b1	46138075	LDCALCULATION_calculation (21)	COMPLETED	0	2023-04-03 13:37:38.857	2m 56s	2m 25s	96.5%	28.2 MB	82.7 MB	124.7 MB	154.9 KB
137	8d/d013f6	46138070	LDCALCULATION_calculation (16)	COMPLETED	0	2023-04-03 13:37:38.549	3m 1s	2m 32s	96.5%	38.5 MB	93.1 MB	130.7 MB	162.7 KB
181	ea/489882	46138121	LDCALCULATION_calculation (60)	COMPLETED	0	2023-04-03 13:38:07.075	2m 33s	2m 6s	97.2%	44.1 MB	98.8 MB	160.4 MB	582 KB
200	66/49519f	46138140	LDCALCULATION_calculation (79)	COMPLETED	0	2023-04-03 13:38:08.349	2m 47s	2m 18s	97.1%	30.1 MB	84.6 MB	120.4 MB	183.8 KB
178	e6/aaaa55	46138118	LDCALCULATION_calculation (57)	COMPLETED	0	2023-04-03 13:38:06.820	2m 53s	2m 25s	97.1%	43 MB	97.6 MB	181.2 MB	204.9 KB
185	ac/2cf215	46138125	LDCALCULATION_calculation (64)	COMPLETED	0	2023-04-03 13:38:07.420	2m 58s	2m 30s	97.4%	36.8 MB	122.9 MB	195.7 MB	65.7 KB
179	38/86a9cf	46138119	LDCALCULATION_calculation (58)	COMPLETED	0	2023-04-03 13:38:06.906	3m 3s	2m 33s	97.2%	24.6 MB	79.1 MB	192.2 MB	10.2 KB
174	73/f127eb	46138114	LDCALCULATION_calculation (53)	COMPLETED	0	2023-04-03 13:38:06.450	3m 14s	2m 40s	96.4%	28.4 MB	83.1 MB	141.7 MB	13.2 KB
227	89/a7d9ac	46138179	LDCALCULATION_calculation (106)	COMPLETED	0	2023-04-03 13:39:50.023	1m 35s	1m 21s	97.0%	31.3 MB	85.7 MB	114.9 MB	161.8 KB
184	86/63db0b	46138124	LDCALCULATION_calculation (63)	COMPLETED	0	2023-04-03 13:38:07.336	3m 23s	2m 54s	97.5%	31.4 MB	85.9 MB	261.7 MB	1 MB
233	5f/38ba2b	46138189	LDCALCULATION_calculation (112)	COMPLETED	0	2023-04-03 13:40:25.012	1m 15s	1m	96.1%	37.4 MB	92.3 MB	78.7 MB	525.8 KB
239	8b/7ff6d6	46138200	LDCALCULATION_calculation (118)	COMPLETED	0	2023-04-03 13:41:00.055	40s	34.3s	95.0%	24.7 MB	79.3 MB	52.2 MB	98.7 KB
241	19/b2130c	46138204	ANNOTATIONS_bedfiles (1)	COMPLETED	0	2023-04-03 13:41:10.056	30.1s	40ms	36.3%	0	0	93.9 KB	3.1 KB
244	58/ec92b7	46138205	ANNOTATIONS_bedfiles (4)	COMPLETED	0	2023-04-03 13:41:20.045	20.1s	40ms	34.3%	0	0	97.8 KB	5.3 KB
245	b4/8209c1	46138210	ANNOTATIONS_bedfiles (5)	COMPLETED	0	2023-04-03 13:41:25.016	15.2s	36ms	41.2%	0	0	91.3 KB	1.8 KB
248	b5/b9bedb	46138211	ANNOTATIONS_bedfiles (8)	COMPLETED	0	2023-04-03 13:41:30.038	10.2s	70ms	30.4%	0	0	91.3 KB	1.8 KB
172	b3/5cdc0c	46138112	LDCALCULATION_calculation (51)	COMPLETED	0	2023-04-03 13:38:06.247	3m 49s	3m 19s	96.8%	24.8 MB	79.3 MB	259.2 MB	23.2 KB
234	ec/4f53fc	46138190	LDCALCULATION_calculation (113)	COMPLETED	0	2023-04-03 13:40:25.070	1m 35s	1m 23s	97.1%	33.5 MB	88.1 MB	122.4 MB	119.5 KB
130	f6/b8b8bf	46138063	LDCALCULATION_calculation (9)	COMPLETED	0	2023-04-03 13:37:38.116	4m 27s	3m 57s	97.4%	26.9 MB	81.5 MB	286.7 MB	7.7 KB
249	89/7df518	46138212	ANNOTATIONS_bedfiles (9)	COMPLETED	0	2023-04-03 13:41:40.088	29.9s	37ms	28.1%	0	0	90.2 KB	1.1 KB
